# Sentences appearing in many DISTINCT patents, with the vocabulary they carry.
# Each passage is ONE attestation regardless of how many documents repeat it.
# docs	n_terms	terms	passage
15	5	advantageous,care,toilet,unexpected,water	summary of the invention the present invention provides novel compounds and their unexpected advantageous use in enhancing, improving or modifying the fragrance of perfumes, colognes, toilet water, fabric care products, personal products and the like.
25	3	accord,found,performance	the odor qualities found in these materials assist in beautifying and enhancing the finished accord as well as improving the performance of the other materials in the fragrance.
25	3	adding,formulation,resulting	until melted, (iii) with stirring, adding 4% cryogenically ground polymer containing a fragrance while maintaining the temperature 75° c., and (iv) stirring the resulting mixture in order to ensure a uniform suspension while a composition of this invention is added to the formulation.
25	3	acid,fatty,formulations	c 12/18 fatty acid monoesters and diesters of addition products of ethylene oxide onto glycerol are known as lipid layer enhancers for cosmetic formulations.
25	3	advantageous,green,violet	advantageous dyes are for example carmine, berlin blue, chromium oxide green, ultramarine blue and/or manganese violet.
15	5	achieve,art,corresponding,result,substantially	as one of ordinary skill in the art will readily appreciate from the disclosure of the presently disclosed subject matter, processes, machines, manufacture, compositions of matter, means, methods, or steps, presently existing or later to be developed that perform substantially the same function or achieve substantially the same result as the corresponding embodiments described herein can be utilized according to the presently disclosed subject matter.
15	5	cleaning,form,otherwise,powder,washing	as used herein, the term “cleaning composition” includes, unless otherwise indicated, granular or powder-form all-purpose or “heavy-duty” washing agents, especially cleaning detergents;
25	3	applied,form,fresheners	perfume compositions can be selected from fine fragrances, air fresheners in liquid form, gel-like form or a form applied to a solid carrier, aerosol sprays, scented cleaners, perfume candles and oils, such as lamp oils or oils for massage.
25	3	generally,impression,pleasant	the term odor composition comprises “fragrance composition” or “scent composition” (used interchangeably herein), which predominately induce an odor impression which is generally felt as pleasant.
74	1	intended	for example, a dimension disclosed as “40 mm” is intended to mean “about 40 mm”.
37	2	art,standard	it is understood that any standard method known by a person skilled in the art to perform such drying is also applicable.
37	2	antiperspirant,care	a vanishing cream, body lotion or a deodorant or antiperspirant), or a skin-care product (e.g.
72	1	acid	3,7-dimethyl-2,6-octadienoic acid nitrile;
36	2	cationic,determined	the cationic charge density of the cationic polymers may be determined by the kjeldahl method as described in the us pharmacopoeia under chemical tests for nitrogen determination.
24	3	environmental,often,origin	fragrances of natural origin are mostly expensive, often limited in their available amount and, on account of fluctuations in environmental conditions, are also subject to variations in their content, purity etc.
36	2	nice,sweet	however, “nice” does not have to be synonymous with “sweet”.
36	2	raw,specifically	specifically, mention may be made of: extracts from natural raw materials such as essential oils, concretes, absolutes, resins, resinoids, balsams, tinctures such as e.g.
24	3	corresponding,formulation,optionally	in other words, a perfuming consumer product according to the invention is a perfumed consumer product which comprises the functional formulation, as well as optionally additional benefit agents, corresponding to the desired consumer product, e.g.
18	4	art,comprise,found,raw	the individual perfume raw materials which comprise a known natural oil can be found by reference to journals commonly used by those skilled in the art such as “perfume and flavourist” or “journal of essential oil research”, or listed in reference texts such as the book by s.
24	3	acid,fatty,group	finsolv® tn), linear or branched, symmetrical or asymmetrical dialkyl ethers having 6 to 22 carbon atoms per alkyl group, such as, for example, dicaprylyl ether (cetiol® oe), ring-opening products of epoxidized fatty acid esters with polyols, silicone oils (cyclomethicones, silicone methicone grades, etc.) and/or aliphatic or naphthenic hydrocarbons, such as, for example, squalane, squalene or dialkylcyclohexanes.
24	3	deodorants,give,masking	the odour masking agents are fragrances or perfume oils, which, in addition to their function as odour masking agents, give the deodorants their respective fragrance note.
24	3	group,neutral,preparation	other preferred liquid carrier substances, which may be a component of a preparation according to the invention are selected from the group consisting of oils such as vegetable oil, neutral oil and mineral oil.
18	4	berry,blossom,lime,mint	examples are sage oil, camomile oil, clove oil, melissa oil, mint oil, cinnamon leaf oil, lime-blossom oil, juniper berry oil, vetiver oil, olibanum oil, galbanum oil, ladanum oil and lavendin oil.
18	4	acid,application,fatty,through	reference is made in this connection to international patent application wo 91/01295 a1, according to which triethanolamine is partly esterified with fatty acids in the presence of hypophosphorous acid, air is passed through the reaction mixture and the whole is then quaternised with dimethyl sulphate or ethylene oxide.
18	4	art,intended,prior,process	one such process, which is intended to be representative of the relevant prior art, is proposed in european patent ep 0750606 b1.
18	4	advantageous,particularly,performance,properties	with the performance properties of the esterquats in mind, a ratio of 1.2:1 to 2.2:1 and preferably 1.5:1 to 1.9:1 has proved to be particularly advantageous.
24	3	against,bacteria,effective	odour absorbers are not effective against bacteria.
71	1	base	by “perfumery base” we mean here a composition comprising at least one perfuming co-ingredient.
70	1	ethyl	3a-ethyl-6,6,9a-trimethyldodecahydronaphtho[2,1-b]furan;
35	2	aromatic,chemicals	more preferably, the aromatic polyisocyanate is a polyisocyanurate of toluene diisocyanate (commercially available from bayer under the tradename desmodur® rc), a trimethylol propane-adduct of toluene diisocyanate (commercially available from bayer under the tradename desmodur® l75), a trimethylol propane-adduct of xylylene diisocyanate (commercially available from mitsui chemicals under the tradename takenate® d-110n).
35	2	acid,synthetic	semi-synthetic polymers such as carboxymethyl cellulose, sulfated cellulose, sulfated methylcellulose, carboxymethyl starch, phosphated starch, lignin sulfonic acid;
35	2	base,case	a perfumery base according to the invention may not be limited to the above mentioned perfuming co-ingredients, and many other of these co-ingredients are in any case listed in reference texts such as the book by s.
69	1	technical	description technical field the present invention relates to the field of perfumery.
23	3	care,foot,washing	cosmetic products include: (a) cosmetic skincare products, especially bath products, skin washing and cleansing products, skincare products, eye makeup, lip care products, nail care products, intimate care products, foot care products;
23	3	aforementioned,aspect,combination	in yet another aspect, the aforementioned alternative compounds can be used in combination with amine compounds.
23	3	advantageous,odiferous,properties	the compounds should have advantageous odiferous (olfactory) or gustatory properties.
23	3	origin,primary,synthetic	the amine polymers can possess primary and/or secondary amine functionalities and can be of either natural or synthetic origin.
23	3	powder,toilet,washing	floor cleaners, window cleaners, dishwashing compositions both for handwashing and machine washing use, bath and sanitary cleaners, scouring milk, solid and liquid toilet cleaners, powder and foam carpet cleaners, waxes and polishes such as furniture polishes, floor waxes, shoe creams, disinfectants, surface disinfectants and sanitary cleaners, brake cleaners, pipe cleaners, limescale removers, grill and oven cleaners, algae and moss removers, mold removers, facade cleaners.
23	3	active,base,form	fabric softener an object of the invention is a consumer product in the form of a fabric softener composition comprising: a fabric softener active base;
23	3	active,base,form	liquid detergent an object of the invention is a consumer product in the form of a liquid detergent composition comprising: a liquid detergent active base;
23	3	active,base,form	solid detergent an object of the invention is a consumer product in the form of a solid detergent composition comprising: a solid detergent active base;
23	3	active,base,form	shampoo/shower gel an object of the invention is a consumer product in the form of a shampoo or a shower gel composition comprising: a shampoo or a shower gel active base;
23	3	active,base,form	rinse-off conditioner an object of the invention is a consumer product in the form of a rinse-off conditioner composition comprising: a rinse-off conditioner active base;
23	3	adding,effective,properties	in other words it concerns a method to confer, enhance, improve or modify the odor properties of a perfuming composition or of a perfumed article, which method comprises adding to said composition or article an effective amount of at least a compound of formula (i).
17	4	acid,ethyl,fatty,resulting	c reaction product of fatty acid with methyldiethanolamine in a molar ratio 1.5:1, quaternized with methylchloride, resulting in a 1:1 molar mixture of n,n-bis(stearoyl-oxy-ethyl) n,n-dimethyl ammonium chloride and n-(stearoyl-oxy-ethyl) n,-hydroxyethyl n,n dimethyl ammonium chloride.
17	4	base,comprise,origin,water	for the compositions which comprise both a perfumery carrier and a perfumery base, other suitable perfumery carriers, than those previously specified, can be also ethanol, water/ethanol mixtures, limonene or other terpenes, isoparaffins such as those known under the trademark isopar® (origin: exxon chemical) or glycol ethers and glycol ether esters such as those known under the trademark dowanol® (origin: dow chemical company).
17	4	acid,apple,extract,fruit	apple fruit extract, soya seed extract, ursolic acid, soya isoflavones and soya proteins), sage extracts, mdi (company atrium;
17	4	absorb,active,antiperspirant,retain	odour absorbers and antiperspirant active agents suitable odour absorbers are substances which are able to absorb and largely retain odour-forming compounds.
17	4	corresponding,effective,formulation,optionally	in other words, a perfumed consumer product according to the invention is a perfumed consumer product which comprises a functional formulation, as well as optionally additional benefit agents, corresponding to the desired consumer product, and an olfactive effective amount of at least one invention&#39;s compound.
17	4	dried,final,obtain,optionally	and 5) optionally drying the final dispersion to obtain the dried core-shell microcapsule.
17	4	acid,aforementioned,form,resulting	the resulting ether moiety-containing product may be used ‘as-is’ as a cross-linking agent for the aforementioned substituted or un-substituted acrylic acid polymer or copolymer, or it may be self-condensed to form dimers, trimers and/or tetramers which may also be used as cross-linking agents for the aforementioned substituted or un-substituted acrylic acid polymers or co-polymers.
34	2	intended,raw	food means a raw, cooked, or processed edible substance, ice, beverage or ingredient used or intended for use in whole or in part for human consumption, or chewing gum, gummies, jellies, and confectionaries.
34	2	add,intended	a food supplement is a product intended for ingestion that contains a dietary ingredient intended to add further nutritional value to the diet.
67	1	ethyl	ethyl 2-ethyl-6,6-dimethyl-2-cyclohexenecarboxylate;
22	3	cleaning,hand,toilet	liquid cleaning and disinfecting agents, including antibacterial hand-wash types, cleaning bars, car or carpet shampoos, bathroom cleaners including toilet bowl cleaners;
33	2	important,tools	it is useful to mention here that the possibility to have, in the compositions mentioned above, more than one compound of formula (i) is important as it enables the perfumer to prepare accords, perfumes, possessing the odor tonality of various compounds of the invention, creating thus new tools for his work.
22	3	aspect,comprise,single	in yet another aspect, a single molecule may comprise an amine moiety and one or more of the alternative heteroatom moieties, for example, thiols, phosphines and selenols.
22	3	cationic,positive,resulting	another class of polymers include polyethylene oxide-co-propyleneoxide-co-butylene oxide polymers of any ethylene oxide/propylene oxide/butylene oxide ratio with cationic groups resulting in a net theoretical positive charge or equal to zero (amphoteric).
22	3	changes,easily,make	from the above description, a skilled artisan can easily ascertain the essential characteristics of the present invention, and without departing from the spirit and scope thereof, can make various changes and modifications of the invention to adapt it to various usages and conditions.
33	2	intended,otherwise	instead, unless otherwise specified, each such value is intended to mean both the recited value and a functionally equivalent range surrounding that value.
66	1	cleaning	the present invention can also be used to perfume cleaning agents, such as, but not limited to detergents, dishwashing materials, scrubbing compositions, window cleaners and the like.
22	3	active,contain,formulations	these unit dose formulations can contain high concentrations of a functional material (e.g., 5-100% fabric softening agent or detergent active), fragrance (e.g., 0.5-100%, 0.5-40%, and 0.5-15%), and flavor (e.g., 0.1-100%, 0.1-40%, and 1-20%).
22	3	composed,particles,resulting	the shell can also be hybrid, namely organic-inorganic such as a hybrid shell composed of at least two types of inorganic particles that are cross-linked, or yet a shell resulting from the hydrolysis and condensation reaction of a polyalkoxysilane macro-monomeric composition.
33	2	group,water	anionic surfactants are characterized by a water-solubilizing anionic group such as, for example, a carboxylate, sulfate, sulfonate or phosphate group and a lipophilic group.
33	2	cationic,corresponding	in addition, the readily biodegradable quaternary ester compounds, such as, for example, the dialkyl ammonium methosulfates and methyl hydroxyalkyl dialkoyloxyalkyl ammonium methosulfates marketed under the name of stepantexe and the corresponding products of the dehyquart® series, may be used as cationic surfactants.
22	3	chemicals,impression,panel	for aroma chemicals with high tenacity the time span after which the panel can still identify an aroma impression is long.
22	3	impression,stability,treated	in order to impart a long-lasting aroma impression to a composition or to a surface treated with a composition, the tenacity, the substantivity as well as the stability of the aroma chemical in the compositions should preferably be high.
33	2	chemicals,toilet	summary of the invention the present invention provides novel chemicals, and the use of the chemicals to enhance the fragrance of perfumes, toilet waters, colognes, personal products and the like.
64	1	care	products and/or methods relating to oral care including toothpastes, tooth gels, tooth rinses, denture adhesives, tooth whitening;
64	1	acetate	4,7-methano-3a,4,5,6,7,7a-hexahydro-5 or 6-indenyl acetate;
16	4	cases,found,search,whether	the search for new fragrances and flavorings is therefore in most cases difficult and laborious without knowing whether a substance with the desired odor and/or taste will even actually be found.
32	2	substantially,volatility	in a wick-type air freshener, the carrier is a substantially odorless liquid of low volatility.
16	4	adding,effective,process,properties	in other words, it concerns a method or a process to confer, enhance, improve or modify the odor properties of a perfuming composition or of a perfumed article or of a surface, which method comprises adding to said composition or article an effective amount of at least a compound of formula (i), e.g.
32	2	comprise,group	a specific group may comprise a linear alkyl, a branched alkenyl (e.g.
32	2	form,group	similarly, in all the embodiments of the invention, when a group is mentioned as being in the form of more than one type of topology (e.g.
32	2	form,group	similarly, in all the embodiments of the invention, when a group is mentioned as being in the form of one type of saturation or unsaturation, (e.g.
16	4	acid,aspects,fatty,water	in some aspects, the crystalline, hydroxyl-containing stabilizing agents may be water-insoluble wax-like substances, including fatty acid, fatty ester or fatty soap.
16	4	aspect,aspects,clearly,defined	each aspect so defined may be combined with any other aspect or aspects unless clearly indicated to the contrary.
16	4	combination,fact,form,need	the expressions “combination of”, “in combination with” or “combined with” when used herein referring to the compositions, methods or the use of two compounds, take account of the fact that the two compounds do not need to be used in the form of a physical mixture of said compounds but can be used (e.g., added) separately.
32	2	chemicals,toilet	in addition, the present invention is directed to the use of the novel chemicals to enhance fragrance in perfumes, toilet waters, colognes, personal products and the like.
21	3	form,optionally,water	2) dispersing or dissolving into water an aminoplast resin and optionally a stabilizer to form a water phase;
21	3	concentration,precise,since	since the precise concentration at the detector at any point in time is known, the mass per volume inhaled is known and hence the concentration of the perfuming compound.
21	3	concentration,determine,threshold	to determine the threshold concentration, solutions are delivered to the sniff port at the back-calculated concentration.
21	3	denotes,impression,pleasant	thus a “fragrance” or “scent” denotes an aroma chemical, which predominately induces a pleasant odor impression.
31	2	contain,optionally	chelating agents—the compositions herein may also optionally contain one or more copper, iron and/or manganese chelating agents.
31	2	comprise,treated	the fabric may comprise most any fabric capable of being laundered or treated in normal consumer use conditions.
31	2	art,prior	said differences lend the invention&#39;s compounds and the prior art compounds to be each suitable for different uses, i.e.
31	2	art,process	the encapsulation is a well-known process to a person skilled in the art, and may be performed, for instance, using techniques such as spray-drying, agglomeration or yet extrusion;
31	2	determined,threshold	the intensity can be determined via a threshold value determination.
61	1	chemicals	arctander, perfume and flavor chemicals, vol.
61	1	found	another source of suitable fragrances is found in perfumes, cosmetics and soaps , second edition, edited by w.
20	3	application,applied,care	skin care including application of creams, lotions, and other topically applied products for consumer use including fine fragrances;
30	2	comprise,generally	if utilized, chelating agents will generally comprise from about 0.1% by weight of the compositions herein to about 15%, or even from about 3.0% to about 15% by weight of the compositions herein.
20	3	cationic,contain,positive	another source of cationic polymers contain protonatable amine groups so that the overall net charge is zero (amphoteric: mixture of cationic and anionic functional groups) or positive.
20	3	cationic,contain,group	another group of polymers that can be used are those that contain cationic groups in the main chain or backbone.
20	3	based,cationic,positive	other polymers include cationic polysiloxanes and cationic polysiloxanes with carbon-based grafts with a net theoretical positive charge or equal to zero (mixture of cationic and anionic functional groups).
20	3	case,effect,them	the nature and type of the constituents of the perfumery consumer product do not warrant a more detailed description here, which in any case would not be exhaustive, the skilled person being able to select them on the basis of his general knowledge and according to the nature and the desired effect of said product.
20	3	application,few,intended	“rinse-off” means the intended product usage includes application to skin and/or hair followed by rinsing and/or wiping the product from the skin and/or hair within a few seconds to minutes of the application step.
30	2	origin,synthetic	in general terms, these perfuming ingredients belong to chemical classes as varied as alcohols, aldehydes, ketones, esters, ethers, acetates, nitriles, terpenoids, nitrogenous or sulphurous heterocyclic compounds and essential oils, and said perfuming co-ingredients can be of natural or synthetic origin.
20	3	bleach,care,water	a fabric care product, such as a liquid or solid detergent, tablets and pods, a fabric softener, a dryer sheet, a fabric refresher, an ironing water, or a bleach;
20	3	based,preparation,preparations	the percentage content of surfactants in the preparations may be from 0.1 to 10% by weight and is preferably from 0.5 to 5% by weight, based on the preparation.
20	3	contain,formulations,particularly	formulations according to the invention preferably contain at least one uv-b filter or a broadband filter, more particularly preferably at least one uv-a filter and at least one uv-b filter.
20	3	acetate,acid,standard	film formers and anti-dandruff agents standard film formers are, for example, chitosan, microcrystalline chitosan, quaternized chitosan, polyvinyl pyrrolidone, vinyl pyrrolidone/vinyl acetate copolymers, polymers of the acrylic acid series, quaternary cellulose derivatives, collagen, hyaluronic acid and salts thereof and similar compounds.
30	2	based,cationic	according to a particular embodiment, one will use cationic polymers based on acrylamide, methacrylamide, n-vinylpyrrolidone, quaternized n,n-dimethylaminomethacrylate, diallyldimethylammonium chloride, quaternized vinylimidazole (3-methyl-1-vinyl-1h-imidazol-3-ium chloride), vinylpyrrolidone, acrylamidopropyltrimonium chloride, cassia hydroxypropyltrimonium chloride, guar hydroxypropyltrimonium chloride or polygalactomannan 2-hydroxypropyltrimethylammonium chloride ether, starch hydroxypropyltr
20	3	concentration,determined,threshold	the odor threshold concentration of a perfuming compound is determined by using a gas chromatograph (“gc”).
30	2	apple,spontaneously	for example, a substance can have an odor which is spontaneously reminiscent of that of an “apple”: the odor would then be concisely of “apples”.
20	3	denotes,impression,obtain	the term “aroma chemical” denotes a substance which is used to obtain a sensory or organoleptic (used interchangeably herein) impression and comprises its use to obtain an olfactory and/or a flavor impression.
20	3	found,powders,soft	food supplements may be found in many forms such as tablets, capsules, soft gels, gel caps, liquids, or powders.
15	4	clearly,combination,otherwise,possible	any combination of the embodiments, examples and preferences described herein in all possible variations thereof is encompassed by the present invention unless otherwise indicated herein, or otherwise clearly contradicted by context.
15	4	care,cleaning,fresheners,preparations	fragrance products may include, for example, perfumes, colognes, personal care products such as soaps, shower gels, and hair care products, fabric products, air fresheners, cosmetic preparations, and perfume cleaning agents such as detergents, dishwashing materials, scrubbing compositions, and window cleaners.
20	3	art,changes,rather	rather, the foregoing detailed description will provide those skilled in the art with a convenient road map for implementing an exemplary embodiment of the invention, it being understood that various changes may be made in the function and arrangement of elements described in an exemplary embodiment without departing from the scope of the invention as set forth in the appended claims and their legal equivalents.
59	1	positively	fine or functional perfumery, to positively impart or modify the odor of a consumer product into which said compound (i) is added.
59	1	art	the person skilled in the art of formulating such consumer products is perfectly able to select the suitable components on the basis of his general knowledge and of the available literature.
29	2	art,based	such compounds and levels of use are well known in the art and include, for example, the manganese-based catalysts disclosed in u.s.
29	2	deliver,effect	for the sake of clarity, it has to be mentioned that, by “perfuming consumer product” it is meant a consumer product which is expected to deliver at least a perfuming effect, in other words it is a perfumed consumer product.
29	2	aspects,provided	examples of the functional products are provided herein to illustrate the various aspects of the present invention.
29	2	effect,preparation	moreover, by “perfuming co-ingredient” it is meant here a compound, which is used in perfuming preparation or composition to impart a hedonic effect.
57	1	defined	therefore, another object of the present invention is a perfuming composition comprising: i) as perfuming ingredient, at least one invention&#39;s compound as defined above;
19	3	hydrogen,hydrophobic,through	this association can be through physical interactions, such as hydrogen bonding, ionic interactions, hydrophobic interactions, electron transfer interactions or, alternatively, the polymer coating could be chemically (covalently) grafted to the capsule or particle surface.
19	3	fatty,form,result	as a result of this cooling step, the fatty alcohols and surfactant crystallized to form a crystalline gel network.
19	3	form,group,hydrogen	” it is meant that said group consists of hydrogen and carbon atoms and can be in the form of an aliphatic hydrocarbon, i.e.
19	3	acid,composed,form	and capsules composed of polymer or copolymer of styrene sulfonic acid in acid of salt form, and capsules cross-linked with melamine-formaldehyde as disclosed in u.s.
19	3	concentration,determined,threshold	the odor threshold concentration of a chemical compound is determined in part by its shape, polarity, partial charges and molecular mass.
19	3	art,aspects,changes	these embodiments are described in detail to enable those skilled in the art to practice the invention described herein, and it is to be understood that other embodiments may be utilized and that logical changes may be made without departing from the scope of the aspects presented herein.
57	1	chemicals	arctander, perfume and flavor chemicals, 1969, montclair, new jersey, usa, or its more recent versions, or in other works of a similar nature, as well as in the abundant patent literature in the field of perfumery.
19	3	application,particularly,test	more particularly, the test methods specified hereinafter are part of the general disclosure of the application and are not restricted to the specific working examples.
56	1	ethyl	ethyl 2,3,6,6-tetramethyl-2-cyclohexenecarboxylate;
28	2	effective,malodor	malodor counteracting effective amount is understood to mean the amount of the inventive malodor counteractant employed in a functional product that is organoleptically effective to abate a given malodor while reducing the combined intensity of the odor level, wherein the given malodor is present in air space or has deposited on a substrate.
28	2	art,clearly	it is clearly understood by a person skilled in the art that only part of said added polymers will be incorporated into/deposited on the microcapsule shell.
55	1	hand	hand dishwashing agents or light duty dishwashing agents, especially those of the high-foaming type;
18	3	cleaning,hand,toilet	liquid cleaning and disinfecting agents, including antibacterial hand-wash types, cleaning bars, mouthwashes, denture cleaners, dentifrice, car or carpet shampoos, bathroom cleaners including toilet bowl cleaners;
54	1	water	when the wash solvent is water, the water temperature typically ranges from about 5° c.
54	1	care	or a home care product, such as a wipe, a dish detergent or hard-surface detergent.
18	3	contain,end,primary	they contain primary amino groups attached to the end of a polyether backbone.
27	2	acetate,green	green ingredients: 2,4-dimethyl-3-cyclohexene-1-carbaldehyde, 2-tert-butyl-1-cyclohexyl acetate, styrallyl acetate, allyl (2-methylbutoxy)acetate, 4-methyl-3-decen-5-ol, diphenyl ether, (z)-3-hexen-1-ol and/or 1-(5,5-dimethyl-1-cyclohexen-1-yl)-4-penten-1-one;
27	2	otherwise,specifically	all ratios are weight ratios, unless specifically stated otherwise.
18	3	application,determine,test	the test methods disclosed in the test methods section of the present application should be used to determine the respective values of the parameters of applicants&#39;
27	2	active,malodor	in several applications, a composition of the invention contains a surface active agent or a disinfectant, while in others, the malodor counteractant is present on a fibrous substrate.
18	3	acid,alcohol,fatty	it is understood by the artisan that the compounds disclosed in this section of the specification can in some instances fall into more than one classification, e.g., some fatty alcohol derivatives can also be classified as fatty acid derivatives.
27	2	acid,fatty	fatty acid alkanolamides, especially cocofatty acid diethanolamide;
27	2	contain,fatty	fatty compounds, such as for example fatty alcohols, fatty ketones, fatty aldehydes, fatty ethers and fatty carbonates which contain in all at least 24 carbon atoms, especially laurone and distearylether;
27	2	important,process	it is important that perfumes must remain unimpaired in this process.
27	2	pleasing,together	preference is, however, given to using mixtures of different fragrances which together produce a pleasing fragrance note.
27	2	relatively,volatility	essential oils of relatively low volatility, which are mostly used as aroma components, are also suitable as perfume oils, e.g.
18	3	aforementioned,application,effective	given the importance of this type of application in the perfume industry, research in this field has been sustained, in particular with the aim of finding new, and more effective solutions to the aforementioned problems.
18	3	active,effect,preparations	a compound which is used as active ingredient in perfuming preparations or compositions in order to impart a hedonic effect.
18	3	active,solution,through	the air was filtered through active charcoal and aspirated through a saturated solution of nacl (to ensure a constant humidity of the air of ca.
27	2	acid,fatty	c 12/18 fatty acid monoesters and diesters of addition products of 1 to 30 mol ethylene oxide onto glycerol;
27	2	average,out	they are homologue mixtures of which the average degree of alkoxylation corresponds to the ratio between the quantities of ethylene oxide and/or propylene oxide and substrate with which the addition reaction is carried out.
18	3	active,contain,group	zwitterionic surfactants are surface-active compounds which contain at least one quaternary ammonium group and at least one carboxylate and one sulfonate group in the molecule.
18	3	alcohol,ethyl,lilial	the ethers include, for example, benzyl ethyl ether, and the aldehydes include, for example, the linear alkanals having 8 to 18 carbon atoms, citral, citronellal, citronellyloxyacetaldehyde, cyclamen aldehyde, hydroxycitronellal, lilial and bourgeonal, the ketones include, for example, the ionones and methyl cedryl ketone, the alcohols include anethole, citronellol, eugenol, isoeugenol, geraniol, linaool, phenylethyl alcohol and terpineol, and the hydrocarbons include mainly the terpenes and bal
27	2	group,particularly	lower alkyl glucosides, particularly those containing 1 to 8 carbon atoms in the alkyl group, for example methyl and butyl glucoside;
18	3	cationic,group,particularly	cationic surfactants, in which the nitrogen group is substituted with two long acyl groups and two short alk(en)yl groups, are particularly preferred.
18	3	acid,fatty,generally	esterquats are generally understood to be quaternised fatty acid triethanolamine ester salts.
18	3	corresponding,group,tea	typical examples of esterquats suitable for use in accordance with the invention are products of which the acyl component derives from monocarboxylic acids corresponding to formula rcooh in which rco is an acyl group containing 6 to 10 carbon atoms, and the amine component is triethanolamine (tea).
18	3	active,combination,single	by “active ingredient”, it is meant a single compound or a combination of ingredients.
27	2	acid,released	the free acid is probably released by the cleavage of the citric acid ester and reduces the ph value of the skin to such an extent that the enzymes are inactivated by acylation.
18	3	acetate,group,origin	group 7: (+−)-2-methyl-3-[4-(2-methyl-2-propanyl)phenyl]propanal (origin: givaudan sa, vernier, switzerland), 2,2,2-trichloro-1-phenylethyl acetate.
53	1	preparation	a shampoo, a coloring preparation or a hair spray), a cosmetic preparation (e.g.
53	1	antiperspirant	a skin cream or lotion, a vanishing cream or a deodorant or antiperspirant (e.g.
52	1	technical	technical field the present invention relates to the field of perfumery.
52	1	ethyl	however, one can cite as non-limiting example solvents such as dipropyleneglycol, diethyl phthalate, isopropyl myristate, benzyl benzoate, 2-(2-ethoxyethoxy)-1-ethanol or ethyl citrate, which are the most commonly used.
26	2	alcohol,synthetic	typical synthetic fragrance compounds are products of the ester, ether, aldehyde, ketone, alcohol, and hydrocarbon type.
26	2	care,water	over-the-counter health care including cough and cold remedies, pain relievers, rx pharmaceuticals, pet health and nutrition, and water purification;
26	2	primary,synthetic	synthetic amine polymers include various degrees of hydrolyzed polyvinyl formamides, polyvinylamines, polyallyl amines and other synthetic polymers with primary and secondary amine pendants.
52	1	ethyl	ethyl linalool ((e)-3,7-dimethylnona-1,6-dien-3-ol);
52	1	care	in any field of fine and functional perfumery, such as perfumes, air care products, household products, laundry products, body care products and cosmetics.
26	2	animal,raw	animal raw materials, for example civet and beaver, may also be used.
26	2	chemicals,found	a listing of common prms can be found in various reference sources, for example, “perfume and flavor chemicals”, vols.
17	3	care,cleaning,otherwise	as used herein, the term “cleaning and/or treatment composition” is a subset of consumer products that includes, unless otherwise indicated, beauty care, fabric &amp;
17	3	art,combination,prior	the citation of any document is not an admission that it is prior art with respect to any invention disclosed or claimed herein or that it alone, or in any combination with any other reference or references, teaches, suggests, or discloses any such invention.
17	3	formulation,provided,through	another embodiment of the present invention relates to a method of improving, enhancing or modifying a fragrance formulation through the addition of an olfactory acceptable amount of the novel compounds provided above.
17	3	coffee,group,tea	instant beverages, preferably selected from the group consisting of instant cocoa beverages, instant tea beverages and instant coffee beverages i.
17	3	character,composed,profile	a fragrance profile is composed of 2 characteristics: ‘intensity’ and ‘character’.
17	3	art,determined,how	the term “about” or “approximately” means within an acceptable error range for the particular value as determined by one of ordinary skill in the art, which will depend in part on how the value is measured or determined, i.e., the limitations of the measurement system.
17	3	acid,based,fatty	partial esters based on linear, branched, unsaturated or saturated c 6/22 fatty acids, ricinoleic acid and 12-hydroxystearic acid and glycerol, polyglycerol, pentaerythritol, -dipentaerythritol, sugar alcohols (for example sorbitol), alkyl glucosides (for example methyl glucoside, butyl glucoside, lauryl glucoside) and polyglucosides (for example cellulose);
17	3	called,cationic,particularly	a further class of cationic surfactants particularly useful as co-surfactants for the present invention is represented by the so-called esterquats.
17	3	fatty,out,process	in addition, german patent de 4308794 c1 describes a process for the production of solid esterquats in which the quaternisation of triethanolamine esters is carried out in the presence of suitable dispersants, preferably fatty alcohols.
17	3	art,pleasant,positive	in other words such a co-ingredient, to be considered as being a perfuming one, must be recognized by a person skilled in the art as being able to at least impart or modify in a positive or pleasant way the odor of a composition, and not just as having an odor.
17	3	cases,effect,them	the effect of the antioxidants consists in most cases in them acting as free-radical scavengers for the free radicals which arise during autoxidation.
17	3	based,impact,raw	according to an embodiment, the oil phase (or the oil-based core) comprises: 25-100 wt % of a perfume oil comprising at least 15 wt % of high impact perfume raw materials having a log t&lt;−4, and 0-75 wt % of a density balancing material having a density greater than 1.07 g/cm 3 .
17	3	defined,form,powder	according to a particular embodiment, the consumer product as defined above is in a powder form and comprises: a) from 2 to 65% by weight, relative to the total weight of the consumer product, of at least one surfactant;
50	1	pigments	dyes and/or pigments), preservatives (e.g.
25	2	comprise,optionally	optionally, the composition may comprise an anti-oxidant adjuvant.
25	2	activity,thereby	the substances inhibit enzyme activity, thereby reducing the formation of odour.
25	2	flower,mint	sage oil, camomile oil, oil of cloves, melissa oil, mint oil, cinnamon leaf oil, linden flower oil, juniperberry oil, vetiver oil, olibanum oil, galbanum oil, labdanum oil and lavandin oil.
25	2	optionally,preparations	optionally, these preparations according to the invention may be produced using preservatives or solubilizers.
25	2	advantageous,pigments	advantageous coloured pigments are for example titanium dioxide, mica, iron oxides (e.g.
