# INDEPENDENT ATTESTATIONS — distinct sentences a term was harvested from.
# A sentence copied into 100 patents is ONE attestation.
# Uses vocab.py's own PRE/POST/STOP, so `docs` matches vocab.py exactly.
# term	docs	attestations	copy_factor	top_share	top_sentence
spicy-green	5	4	1.25	0.400	(b) by the addition of 3-5 ppm of 2-pyridyl-propyl-disulphide the meat aroma is enhanced in an advantageous manner in that there now appears a spicy-green note which is reminiscent of chive and which harmonises well with the meat flavour
camphene-like	5	14	0.36	1.000	the 4-(3,3-dimethyl-2-norbornyl)-3-methyl-2-butanone produced according to example ib imparts a natural, sweet pine, incense-like and camphene-like aroma with a sweaty, geranic acid nuance to this pine needle oil formulation
vague	5	6	0.83	0.200	in addition to the cirtus component of the cis-trans mixture, the cis-5-cyclohexyl-3-methyl-2-penten-1-oic acid nitrile was a vague watery, fruity, asparagus note
fruity-raspberry	5	4	1.25	1.000	the cigarettes when treated as indicated have desired and pleasing sweet-musty, hay-tobacco-like, fruity-raspberry, ionone-like aromas prior to smoking and a fruity-tobacco-like, virginia tobacco-like aroma on smoking in both the main stream and the side streams
fruity-tobacco-like	5	5	1.00	1.000	an additional aspect of our invention provides an organoleptically improved smoking tobacco product and additives therefor including methods of making the same which overcome problems heretofore encountered in the creation or enhancement of specific desired sweet-musty, hay-tobacco like, fruity-rasp
pulegone-like	5	15	0.33	1.000	the detergents all possess leathery, minty, pulegone-like aromas with hay-tobacco and spicey (clove-like) topnotes
honey-ionone-like	5	2	2.50	0.800	the invention it has now been discovered that novel solid and liquid perfume compositions, colognes and perfumed articles having leathery, hay, woody, mustard, minty, spicey (clove) and pulegone-like aromas with hay/tobacco and honey-ionone-like topnotes and safranal-like nuances and novel smoking t
sweet-musty	5	3	1.67	1.000	the cigarettes when treated as indicated have desired and pleasing sweet-musty, hay-tobacco-like, fruity-raspberry, ionone-like aromas prior to smoking and a fruity-tobacco-like, virginia tobacco-like aroma on smoking in both the main stream and the side streams
hay-tobacco	5	4	1.25	1.000	the stereoisomers (or &#34;enantiomers&#34;) of these &#34;cis&#34; and &#34;trans&#34; isomers may be separated by standard stereoisomer separation techniques; that is, for example, in the instant case, by esterification of the resulting racemic mixture of 2,6,6-trimethyl-α-propenyl-1-cyclohexene-1
onone	5	2	2.50	0.600	##str30## a sweet, fruity, raspberry- like, damascenone-like, onone aroma and taste
elery-like	5	3	1.67	0.400	##str11## 1-methyl-3-(2- methylpropyl)-2- oxabicyclo[2.2.2] a dill, parsley-like, nutmeg-like, celery-like roma with dill, parsley- like, nutmeg-like and elery-like flavor nuances
freesia-like	5	5	1.00	1.000	2,4,6-trimethyl-cyclo-3- fresh, fruity, floral, cyclohexene-1-methanol- freesia-like aroma with acetate produced according ionone nuances
specialty	5	1	5.00	1.000	by the same token, sweet, floral, green, weedy and herbaceous aromas prior to and on smoking in the main stream and in the side stream are desirable in the smoking tobacco art for enhancing certain specialty smoking tobacco-like notes
methylionone-like	5	6	0.83	1.000	when the materials produced according to examples i, ii, iii and iv are combined in equal portions at 7.5 parts by weight each the combined character given to the honey fragrance is a sweet spicy; fresh green, floral, fruity; freesia-like; methylionone-like aroma with geranium and ionone-like topnot
trimethyl-cyclohex	5	1	5.00	1.000	2,4,6-trimethyl-cyclohex- sweet, spicy, green aroma anemethanol produced with a minty rose background
anemethanolacetate	5	1	5.00	1.000	2,4,6-trimethyl-cyclohex- methylionone-like, spicy, anemethanolacetate produced fruity aroma
catalytic	5	2	2.50	0.800	the following tables set forth the products covered by our invention and the alkyl acrylate precursor reactant starting materials to be reacted with the methylcyclopentadienes to produce said products and in addition sets forth the organoleptic properties of the products of our invention: table i __
diels	5	2	2.50	0.800	the following tables set forth the products covered by our invention and the alkyl acrylate precursor reactant starting materials to be reacted with the methylcyclopentadienes to produce said products and in addition sets forth the organoleptic properties of the products of our invention: table i __
boxylic	5	2	2.50	0.800	the following tables set forth the products covered by our invention and the alkyl acrylate precursor reactant starting materials to be reacted with the methylcyclopentadienes to produce said products and in addition sets forth the organoleptic properties of the products of our invention: table i __
diels-alder	5	5	1.00	1.000	carboxylic acid (thermal non-catalytic diels-alder reaction) prepared according to example xxxiv ethyl esters of 3,5- and an intense, fruity, 3,6-dimethyl-5-norbornane- strawberry-like, rasp- 2-carboxylic acid (thermal berry-like, reseda body- non-catalytic diels-alder like aroma but does not reacti
tagett	5	4	1.25	1.000	carboxylic acid (thermal non-catalytic diels-alder reaction) prepared according to example xxxiv ethyl esters of 3,5- and an intense, fruity, 3,6-dimethyl-5-norbornane- strawberry-like, rasp- 2-carboxylic acid (thermal berry-like, reseda body- non-catalytic diels-alder like aroma but does not reacti
body-like	5	2	2.50	0.800	carboxylic acid (thermal non-catalytic diels-alder reaction) prepared according to example xxxiv ethyl esters of 3,5- and an intense, fruity, 3,6-dimethyl-5-norbornane- strawberry-like, raspberry- 2-carboxylic acid (thermal like, reseda body-like non-catalytic diels-alder aroma but does not have rea
non-catalytic	5	3	1.67	1.000	carboxylic acid (thermal non-catalytic diels-alder reaction) prepared according to example xxxiv ethyl esters of 3,5- and an intense, fruity, 3,6-dimethyl-5-norbornane- strawberry-like, rasp- 2-carboxylic acid (thermal berry-like, reseda body- non-catalytic diels-alder like aroma but does not reacti
alder	5	2	2.50	0.800	the following tables set forth the products covered by our invention and the alkyl acrylate precursor reactant starting materials to be reacted with the methylcyclopentadienes to produce said products and in addition sets forth the organoleptic properties of the products of our invention: table i __
camphorac	5	4	1.25	0.400	a minty, cooling, camphorac- eous, pat- chouli-like aroma and flavor pro- file causing it to be useful in oral hygiene flavors, mint flavors and pepper- mint flavors at 2 ppm
toba	5	4	1.25	0.400	a woody, camphoraceous, and patchouli- like aroma and taste both prior to and on smoking with woody, oriental notes in the smoke flavor causing it to be use- ful in the production of turkish toba- cco flavor, this material imparts a turkish toba- cco aroma and taste nuance to virginia tobaccos in bo
cognac-like	5	2	2.50	0.800	______________________________________ additional nuances added to the piney, herbaceous example aroma of the fragrance ______________________________________ ixa fruity, woody and amber ixb sweet, floral, fruity and woody/amber ixc fruity and woody ixd a long-lasting sweet, rich warm woody, vetiver
warm-herbaceous	5	3	1.67	0.400	it blends excellently with the ionones and methylionones, with cedarwood derivatives and musks, and with oakmoss products.&#34; ##str7## powerful and rather pungent, but in dilution pleasant, warm-herbaceous and minty-camphoraceous odor, reminiscent of tansy oil or dalmation sage oil
hypochlor	5	1	5.00	1.000	thus, the diisoamylene epoxide compounds of our invention can be used particularly to augment or enhance the aroma of perfumed bleach compositions, particularly perfumed hypochlorite bleached compositions
chrysanthemum-like	5	19	0.26	0.600	the methyl substituted norbornane derivatives of our invention can be used to contribute jasmine/fruity, camphoraceous, green, labdanum-like, castoreum-like, leathery, floral, chrysanthemum-like and calamus-like aromas to perfume compositions, perfumed articles such as solid or liquid anionic, catio
intersting	5	1	5.00	1.000	this intersting chypre nuance is novel in the perfumery industry and has unexpected, unobvious and advantageous properties
cumene-like	5	10	0.50	1.000	when used as (an) olfactory component(s) as little as 0.005% of the oxoalkyl ester compositions prepared in accordance with the process of our invention will suffice to impart an ozoney, aldehydic, floral, green, spicy (coriander-like, cardamom-like, ginger-like) fruity, honey, tobacco, coumarin-lik
cumene	5	4	1.25	0.800	##str51## a honey, tobacco aroma with coumarin-like, and cumene- like notes
spice-type	5	1	5.00	1.000	when used as (an) olfactory component(s) as little as 0.005% of the oxoalkyl ester compositions prepared in accordance with the process of our invention will suffice to impart an ozoney, aldehydic, floral, green, spicy (coriander-like, cardamom-like, ginger-like) fruity, honey, tobacco, coumarin-lik
orris-woody	5	3	1.67	0.800	the invention it has now been discovered that novel solid and liquid perfume compositions, colognes, and perfumed articles (e.g., solid or liquid anionic, cationic, nonionic and zwitterionic detergents; cosmetic powders; hair preparations; fabric softener compositions; and dryer-added fabric softene
green-spicy	5	2	2.50	0.800	as a general rule, cumin oil is used in perfume compositions in trace amounts to introduce green-spicy and green-woody top notes particularly in the woody, floral perfumed types, oriental bases, mimosa, cassie, and violet
caryophyllene-like	5	18	0.28	0.400	table ii ______________________________________ substance aroma description ______________________________________ methyl-2-ethyl-1-hexyl a spicy, caryophyllene-like carbonate prepared corduory aroma profile
sclaree	5	5	1.00	0.200	the resulting substance has an excellent aroma as set forth in table ii below: table ii ______________________________________ substance aroma ______________________________________ mixture of substituted methyl a peppery, guiacwood, isopropyl cyclohexenones vetiver, sandalwood, fruity, prepared acc
dogwood	5	3	1.67	0.400	from a flavor standpoint, the compound having the structure: ##str37## has a dogwood, oak-like, virginia tobacco-like aroma and taste characteristic at 0.2 ppm
oak-like	5	3	1.67	0.400	from a flavor standpoint, the compound having the structure: ##str37## has a dogwood, oak-like, virginia tobacco-like aroma and taste characteristic at 0.2 ppm
heliotropin-like	5	2	2.50	0.800	control cigarettes not containing 4,4a,5,6-tetrahydro-7-methyl-2-(3h)-naphthalenone produced according to either of example iii or iv and the experimental cigarettes which contain the 4,4a,5,6-tetrahydro-7-methyl-2-(3h)-naphthalenone produced according to example iii and example iv are then evaluate
smoothing	5	2	2.50	0.800	control cigarettes not containing 4,4a,5,6-tetrahydro-7-methyl-2-(3h)-naphthalenone produced according to either of example iii or iv and the experimental cigarettes which contain the 4,4a,5,6-tetrahydro-7-methyl-2-(3h)-naphthalenone produced according to example iii and example iv are then evaluate
dandeloin	5	4	1.25	1.000	the cyclohexenyl-alpha-alkyl acrolein derivatives of our invention also augment, impart or enhance powerful spicy, cinnamon-like, cumin-like, green leafy and dandeloin leaf-like aroma and taste nuances of foodstuffs, chewing gums, toothpastes, medicinal products and chewing tobaccos
spinach	5	15	0.33	0.800	when the resulting salad dressing flavor is incorporated into a salad dressing in the standard way and the salad dressing is used on a green salad, interesting dandelion leaf, raw spinach nuances are imparted to the overall salad even in the absence of dandelion leaf and spinach
scallion-like	5	9	0.56	0.800	sweet, licorice-like, anise oil-like, spicy, fresh dandelion leaf and raw spinach aroma and taste nuances with faint scallion-like nuances are desirable in augmenting or enhancing the aroma and/or taste of foodstuffs, chewing gums, medicinal products, chewing tobaccos and toothpastes
rose-honey-like	5	1	5.00	1.000	mild and warm, rose-honey-like odor of moderate to poor tenacity
phenylethylalcohol	5	2	2.50	0.800	with 5% of the crystalline material, phenylethylalcohol will smell not only much more rosy, it will last much longer, and its &#34;rough&#34; topnotes are pleasantly subdued, it has &#34;three dimensions&#34; instead of two
wholly	5	1	5.00	1.000	commercial products are rarely of high olfactory purity and may show variable amounts of harsh or &#34;gassy&#34; or acetophenone-like topnotes which partly or wholly ruin the overall odor impression
ruin	5	1	5.00	1.000	commercial products are rarely of high olfactory purity and may show variable amounts of harsh or &#34;gassy&#34; or acetophenone-like topnotes which partly or wholly ruin the overall odor impression
eugenols	5	3	1.67	0.600	it blends well with the &#34;rose alcohols&#34;, with eugenols and woody odors, with oakmoss products and vetiver, etc
lilac-rose	5	1	5.00	1.000	sweet and mild, floral odor of lilac-rose type
lilac-hyacinth	5	1	5.00	1.000	sweet-floral, but rather heavy odor of lilac-hyacinth type
ginseng-like	5	6	0.83	0.800	the resulting product having the structure: ##str49## from a fragrance standpoint has a leafy, patchouli-like, vetiver-like and ginseng-like aroma with leafy, green, camphoraceous, woody, patchouli-like and musk undertones
green-orange	5	1	5.00	1.000	examples of ether carbinols and ether carboxaldehydes which are useful in the practice of our invention and their organoleptic properties are set forth in the following tables i (ether carbinols) and ii (ether carboxaldehydes): table i ________________________________________________________________
chamolime-like	5	3	1.67	0.400	when used as (an) olfactory component (s) as little as 0.2% of one or more of the ether carboxaldehyde derivatives and/or ether carbinol derivatives prepared in accordance with the processes of our invention will suffice to impart, augment or enhance intense ozoney, fresh air dried cloth-like, green
xii	5	4	1.25	0.400	the following ingredients are added to the pvp/va alcoholic solution: ______________________________________ weight percent ______________________________________ dioctyl sebacate 0.05 benzyl alcohol 0.10 dow corning 473 fluid 0.10 (prepared by the dow corning corporation) tween 20 surfactant 0.03 (
unpleas	5	4	1.25	0.400	the manner in which the mixtures i round-off and harmonize the olfactory notes of known compositions without, however, dominating in an unpleasant manner is remarkable
balsamic-floral	5	1	5.00	1.000	intensely sweet, balsamic-floral odor of very good tenacity
unquestionable	5	1	5.00	1.000	although it has an unquestionable odor of vanillin-type, rather soft, but quite pleasant and not exactly weak, its aqueous solution or the dry material itself has hardly any taste at all
vanillin-type	5	1	5.00	1.000	although it has an unquestionable odor of vanillin-type, rather soft, but quite pleasant and not exactly weak, its aqueous solution or the dry material itself has hardly any taste at all
exactl	5	1	5.00	1.000	although it has an unquestionable odor of vanillin-type, rather soft, but quite pleasant and not exactly weak, its aqueous solution or the dry material itself has hardly any taste at all
accurate	4	2	2.00	0.500	for final perfumes they are tested in a larger bathroom to give a more accurate consumer impression of the performance, we also test with a larger base of panelists typically 30 panelists are used
troublesome	4	7	0.57	0.500	this acid treatment can reliably avoid the formation of troublesome odor notes
off-notes	4	6	0.67	0.500	an essential quality criterion is that a stable fragrance quality is attained without the odor impression of troublesome off-notes
infer	4	2	2.00	0.500	this is surprising despite a structural similarity of these novel compounds with the known compounds, since, from the structure of a known first compound having known sensory properties and from its structural similarity with the structure of a second compound, it is not possible to infer the odor o
column	4	3	1.33	0.500	“inherent smell”: in this column the inherent smell of each compound is reported
understanding	4	3	1.33	0.500	understanding the odour contribution of the raw materials used in the fragrance compositions of the present invention can be used to fine tune the creation of the composition by allowing a perfumer to determine that a particular raw material may have a particularly high or low odour contribution and
confine	4	3	1.33	0.500	in many cases, it is also possible to confine the unpleasant odour by adding an encapsulation agent, as is described for example in wo 2009 131748 a1 (belle air)
incorrect	4	2	2.00	0.500	description of the invention the invention provides a method for masking odoriferous incorrect notes in oleochemical preparations by adding lactones of the formula (ia) or (ib) in which r 1 is a linear or branched, saturated or unsaturated, optionally hydroxy-substituted hydrocarbon radical having 2
germicidal	4	1	4.00	1.000	accordingly, deodorants comprise active ingredients which function as germicidal agents, enzyme inhibitors, odour absorbers or odour concealers
concealers	4	1	4.00	1.000	functioning as odour concealers are fragrances or perfume oils which, in addition to their function as odour concealers, impart their particular scent note to the deodorants
polishing	4	1	4.00	1.000	ingredients for oral and dental care compositions toothpastes or dental creams are generally understood as being gel-like or pasty preparations made of water, thickeners, humectants, abrasive or polishing bodies, surfactants, sweeteners, aroma substances, deodorizing active ingredients and active in
oleochemical	4	2	2.00	0.500	in the context of the invention, the lactones that are particularly readily suitable for improving the odour note of oleochemical compositions are those in which, in formula (i), r 1 is linear alkyl radicals having 2 to 14 and in particular 6 to 12 carbon atoms
elapsed	4	7	0.57	0.500	dimethylester (product of example ii.1): time elapsed odor impression &lt;1 min
conclusion	4	2	2.00	0.500	this finding reinforces the conclusion that odour has a powerful ability to evoke emotions
activated	4	4	1.00	0.500	context can have an influence on the moods evoked by odours and this is particularly relevant for positive, activated smells
benefits	4	3	1.33	0.500	although these practices benefit from the aroma of the materials used, it is not clear that the primary benefits arise from the aromas themselves or for example, the skin contact, the massage, the expectations of the subject, and/or the teachings of the aromatherapist
consistency	4	3	1.33	0.500	there is little consistency between the odours of essential oils, reputed to have stimulating effects
alkanols	4	4	1.00	0.500	furthermore, it is indeed surprising to find the isomeric alkoxynonenols, in particular, isomeric 8-alkoxy-4,8-dimethylnon-1-en-3-ols, of this disclosure having such a distinct sandalwood odor, since the related aliphatic alkanols generally have odors that can best be described as citrus and floral 
sap	4	5	0.80	0.500	on the other hand, the invention&#39;s compound distinguishes from the prior art by having a very strong green note; in particular the invention distinguishes from 3-(3-(tert-butyl)cyclohexyl)propanal by having a dominant green/watery/sap note instead of having a fatty/aldehydic and green/herbaceous
none	4	4	1.00	0.500	after 1 after 20 after 45 after 1.5 after 24 minute minutes minutes hours hours photocaged strong 0-1 0-1 0 0 pinene chemical can be can be smell of smelled smelled acetophe- again with again with none use of use of 1 daylight daylight lamp lamp 0-1 0-1 acetophenone 3 3 2-3 2 0 beta-pinene 0-1 0 0 0
chrysanthemum	4	4	1.00	0.250	table 1 chemical structure iupac names character description 1 4-(2,4-dimethyl-cyclohex- 3-enylidene)-butan-2-one strong woody and spicy characters 2 4-isopropyl-1,5-dimethyl-2- oxa-bicyclo[2.2.2]octane herbal, camphor, woody, minty, and patchouli aspects 3 4-(1,2-dimethyl-propyl)-1- methyl-2-oxa- b
subdivided	4	4	1.00	0.250	due to the different volatilities of fragrant substances, the smell of a perfume or fragrance composed of a plurality of fragrant substances changes during evaporation, the impressions of odor being subdivided into the “top note”, “middle note” or “body” and “end note” or “dry out”
cavone	4	1	4.00	1.000	see, for example, the well-known difference between r-(−)-carvone, which smells like spearmint, and s-(+)-cavone, which smells like caraway
correlating	4	1	4.00	1.000	human sensory panel for odors; correlating odors with chemical quantitation of odiferous compounds at least the following methods are available for use in the present disclosure
polypropylene	4	1	4.00	1.000	sensory panels with human subjects are used to identify odors, including odors of degradation products of polypropylene and polyethylene
bananas	4	1	4.00	1.000	they are responsible for the aromas of many fruits, including apples, bananas, and strawberries
optical	4	4	1.00	0.500	both of the optical isomers have good scents
typ	4	2	2.00	0.500	in other words such an “musk compound”, to be considered as such, must be recognized by a person skilled in the art as being able to impart or modify in a positive or pleasant way the odor of a composition, and not just as having an odor of the musk type
tune	4	3	1.33	0.500	whereas the compound of formula (i) or the mixtures referred to above have very similar odour characteristics as cyclohexal, nevertheless a perfumer may find it desirable to employ additional perfume ingredients in combination with the compound of formula (i) or the perfume mixtures, in order to bal
overwhelmingly	4	6	0.67	1.000	addition of the substantially non-odorous fragrance modulator ppg-11 stearyl ether maintains the overwhelmingly dominate floral character for up to 6 hours
translate	4	3	1.33	0.500	the use of at least one aromatic polyisocyanate with a mixture of two polyamines in said ratio to form the wall of the microcapsules following the process of the present invention, in particular with the simultaneous addition of both polyamines, provides capsules showing very good performance in ter
dispersed	4	3	1.33	0.500	results after observation with the microscope and photographing, the observations relating to the different mixtures, immediately after incorporation in the washing liquid, are presented in table 2 below: table 2 micro- capsules in “fabric washing liquid” s 4331 well dispersed but slightly deformed 
ones	4	3	1.33	0.500	the “gelatin” microcapsules g are the ones that release most odor and that have therefore become the most porous.
enduring	4	5	0.80	0.250	laundry detergent with encapsulated fragrances that have an enduring odor release profile well beyond the wash cycle
non-encapsulated	4	5	0.80	0.250	this would give a pleasant scent to the user, over a longer duration, instead of a short-lived and intense scent of non-encapsulated products
methylpropanal	4	6	0.67	0.500	example 3 3-(4-isobutyl-2-methylphenyl)-2-methylpropanal odor: fatty, watery, floral, green, aldehydic 1 h nmr (400 mhz, cdcl 3 ): δ=9.75 (d, j=1.8 hz, 1h), 7.03 (d, j=7.6 hz, 1h), 6.99-6.92 (m, 2h), 3.09 (dd, j=6.1 hz, 13.9 hz, 1h), 2.73-2.73 (m, 1h), 2.61-2.54 (m, 1h), 2.44 (d, j=7.1 hz, 2h), 2.32
treat	4	3	1.33	0.500	in order to effectively treat certain stains and odors (e.g., pet urine), practitioners may need to prepare cleaning solutions that have multiple active ingredients, thus further complicating and extending the duration of the on-site preparation work
powdered	4	6	0.67	0.500	in one embodiment, the powdered buffering agent, the odor-modifying agent, and the powdered oxidizing agent are mixed 110 for at least 15 minutes before sealing 112 the powdered buffering agent, the odor-modifying agent, and the powdered oxidizing agent in the container
absorbs	4	3	1.33	0.500	after combining (e.g., spraying, pouring) 104, the powdered buffering agent absorbs the liquid odor-modifying agent so that, after mixing 106 , the intermixed powdered buffering agent and the odor-modifying agent is in powder form
reacts	4	3	1.33	0.500	in addition, the odor-modifying agent reacts with the odor molecules to entrap and/or react with odor molecules and chemically modify the odor molecules to neutralize the malodorous functional groups of the odor molecules
distinction	4	3	1.33	0.500	said document also mentions 3-(4-isopropylcyclohex-1-en-1-yl)-2-methylpropanal without making any distinction between the odors of each diastereoisomer
letting	4	2	2.00	0.500	this document is silent toward the stereochemistry of this molecule letting assume that the odor corresponds to the odor of a mixture comprising the four diastereoisomers
aldehydic-citrus	4	2	2.00	0.750	said compound imparted an aldehydic-citrus note instead of a floral note
charac	4	2	2.00	0.500	consequently, the odor of the other aroma components became stronger so that the character of the odor was changed and a sake-like odor was detected
complain	4	1	4.00	1.000	another problem is that consumers tend to complain that middle notes tend to fade too quickly after application of the composition and that the character of the middle notes are undesirably altered by the presence of large amounts of the base notes during the period known as the “dry-down” phase
lon	4	2	2.00	0.500	typically, it has been very difficult to formulate fragrance profile, particularly a floral or an aromatic or a spicy character of the volatile fragrance materials, which can last for very long periods, especially throughout the life of the composition after its application, without giving way to th
pre-rub	4	39	0.10	0.500	the present invention articulates another physicochemical parameter that correlates well with pre-rub odour impression of perfume ingredients encapsulated in core shell microcapsules
suitability	4	2	2.00	0.500	24 shows the participants&#39; perception of product suitability for the odors described by example 9
report	4	3	1.33	0.750	participants were then asked to report whether the odor contained a particular fragrance
judge	4	3	1.33	0.500	results were analyzed using anova f, p&lt;0.001 (odor, image, judge, odor*image, odor*judge, judge*image)
germ	4	2	2.00	0.500	for germ removal, odor 5 was scored directionally higher than odor 4 (at 80% confidence)
pheromone	4	11	0.36	0.500	an example implementation of a pheromone formulation may cause a person to be drawn or attracted to another individual based on the pheromone scents that are unconsciously sensed by the person&#39;s olfactory system
repellant	4	4	1.00	0.500	when the insect repellant is encapsulated with the fractionated coconut oil as disclosed herein, the scent of the insect repellant is released slowly over time
skunk	4	15	0.27	0.500	many medical patients and novice users find this smell and taste unpleasant, as, depending on the strains used to create the oil, the smell and taste is reminiscent of a skunk, pine needles, herbs, or is strongly plant-like
plant-like	4	3	1.33	0.500	many medical patients and novice users find this smell and taste unpleasant, as, depending on the strains used to create the oil, the smell and taste is reminiscent of a skunk, pine needles, herbs, or is strongly plant-like
rubbing	4	2	2.00	0.750	gently rub the fabric 3 times and olfactively grade, record this as the post rubbing fabric odor (rfo) fragrance intensity
s-containing	4	2	2.00	0.500	pro-fragrance compositions comprising larger pro-fragrance cucurbiturils are therefore especially efficient for the reduction of malodours of n- or s-containing compounds
document	4	3	1.33	0.500	in spite of the other prior known disclosures of phenyl and cyclopentyl derivatives taught for the same purpose, the malodor masking mixtures specifically disclosed in this latter document are shown to counteract a variety of malodors of different origins, and one can find in this document a useful 
cite	4	2	2.00	0.500	as examples of surfaces the odor of which can thus be improved, one can cite human skin and hair, animal skin or fur, kitchen and toilet surfaces, the surface of animal cages or litter containers, rubbish containers surfaces, textile and laundry surfaces, glass windows, dishes and crockery surfaces,
effectiveness	4	3	1.33	0.500	further, the effectiveness against the bad odours, the scented compositions according to the invention have better olfactory power (perfume intensity) in comparison to the comparative scented compositions of the prior art.
pickles	4	4	1.00	0.500	the odor was horseradish, green, pickles, cherry note, potato, fruity, pineapple, and galbanum
correctives	4	6	0.67	0.500	peptidases), nucleic acids, nucleotides, taste correctives for unpleasant taste impressions, further taste modulators for further, generally not unpleasant taste impressions, other taste modulating substances (e.g
wasabi	4	4	1.00	0.500	example 2: perfume compositions and shampoo formulations with 2-methoxy-2-methylheptane a perfume composition with a wasabi lotus note was prepared from the compound of example 1 (2-methoxy-2-methylheptane) to demonstrate its use in a shampoo
anti-bacterial	4	2	2.00	0.750	non-limiting examples of benefits and/or improvements to fabric include cleaning (for example by surfactants), stain removal, stain reduction, wrinkle removal, color restoration, static control, wrinkle resistance, permanent press, wear reduction, wear resistance, pill removal, pill resistance, soil
sampling	4	6	0.67	0.500	16, 1991, “apparatus for designing personalized perfume” discloses a group of blotters held together as a single unit for sampling scents
likes	4	5	0.80	0.500	if (s)he likes the scent, an identifying name is written on the blotter and the blotter is selected
adjust	4	4	1.00	0.500	customer adjusts scent intensities in optional step 490 , the customer can adjust the scent intensity
factor	4	2	2.00	0.500	the parameters being optimized are a scaling factor associated with each scent and a compatibility factor between scents
pigmented	4	1	4.00	1.000	to improve the aesthetic impression of the inventive agents, they may be pigmented with suitable dyes
super	4	6	0.67	0.500	dry dry dry after 7 after 7 after 7 compound (1) (2) (3) days (1) days (2) days (3) example 1 3.00 3.00 3.00 3.75 3.75 3.75 floral super 2.67 3.33 3.00 3.13 2.88 3.00 comparative 1.63 1.63 2.00 1.88 2.38 2.50 example 1 lilial 1.63 2.13 2.88 1.88 2.38 2.50 (1) = blended fabric, (2) = cotton, (3) = po
fertilizers	4	2	2.00	0.750	the capsules according to the invention are useful with a wide variety of capsule contents (“core materials” or “benefit agents”) including, by way of illustration and without limitation, internal phase oils, solvent oils, phase change materials, lubricants, dyes, perfumes, fragrances, cleaning oils
herbicides	4	2	2.00	0.750	the capsules according to the invention are useful with a wide variety of capsule contents (“core materials” or “benefit agents”) including, by way of illustration and without limitation, internal phase oils, solvent oils, phase change materials, lubricants, dyes, perfumes, fragrances, cleaning oils
receive	4	3	1.33	0.500	also shown are paper strips 104 , which may be inserted into the scent receiver area 101 , however, other items may be inserted to receive the scent drops, such as a user&#39;s finger or a container
purchase	4	2	2.00	0.500	the user may try to purchase the scent at 704
explain	4	2	2.00	0.500	the system can have tutorials to explain each scents and rules to follow for the blending
dispensed	4	8	0.50	0.500	next, an optional step 803 may be performed where the user terminal receives feedback from the user regarding the dispensed scent(s)
asked	4	2	2.00	0.500	model # 2 is similar to model # 2, except that instead of directly using the css based on what is actually used in the selected perfume (in step 1001 ) that is already in the market, the fans of the selected perfume are asked what scents they would like to experiment with in step 1002
choose	4	3	1.33	0.500	in another variation, the company may choose multiple predetermined scents, each being a simple perfume with top, middle, and base notes, and a customer can create blends of the multiple scents to obtain a personalized perfume
predetermined	4	10	0.40	0.500	in this variation, the quality of the final perfume depends on the quality of each of the predetermined scents, which may help a company stand out from other scent-makers
perf	4	2	2.00	0.500	in an embodiment, the personal and preference information regarding the user associates the user with a plurality of commercially available perfumes, and the plurality of scents is determined based on a first one of the plurality of commercially available perfumes, and the dispensing includes dispen
interchangeably	4	2	2.00	0.750	as used herein, “fragrance” can also be used interchangeably with aroma, scent or odor
refine	4	3	1.33	0.500	these preferred odorant mixtures may of course comprise further odorants that are not covered by one of the odorant groups (a), (b) and (c) in order to refine the desired odor note
conveys	4	3	1.33	0.500	in addition, after the addition of the compound of formula (i), a discreet chloroskatol note can be perceived which conveys the impression of cleanliness and hygiene
antibacterial	4	4	1.00	0.500	in many countries, a chlorine-like scent and flavor note, especially a scent note, is associated with the impression of cleanliness, hygiene and antibacterial properties
fruitiness	4	3	1.33	0.500	c12-c15, 8eo detergent surfactant ethanol 96% various ethanol solvent 2.0 perfume symrise perfume 0.3 composition (fragrance) from example 3 at a dosage of 0.3% by weight of the perfume composition from example 3 in the all-purpose cleaner, the following results are obtained: adding 1% by weight of 
toward	4	3	1.33	0.500	in particular, there is an interest toward floral notes
absorbers	4	2	2.00	0.500	accordingly, deodorants comprise agents that function as antimicrobial agents, enzyme inhibitors, odor absorbers, and odor-asking agents
molec	4	2	2.00	0.750	the smell of malodour may be pungent and even minute amounts of such molecules can create uncomfortable impressions to consumers
indole-like	4	7	0.57	0.500	surprisingly, it was found that the compounds of formula (i) to be used according to the invention have an ambergris- and/or indole-like olfactory note
iden	4	2	2.00	0.500	the compound of the formula (i) is preferably used in a fragrance mixture according to the invention in such a concentration that the sensory impression of the fragrance mixture according to the invention is more natural, fresher, more flowery, more radiant, less greasy, less technical and/or less m
recover	4	12	0.33	0.500	pervaporation can be applied to recover aroma compounds under mild conditions (for example figoli et al
qualified	4	4	1.00	0.250	at baseline, subjects underwent a hedonic breath evaluation conducted by qualified odor judges, and the 45 subjects that meet the continuance criteria were randomly assigned to one of three treatments (15/group) at product distribution
consist	4	3	1.33	0.500	due to the differing volatility of odorants, the odor of a perfume or fragrance composed of multiple odorants varies over the course of vaporization, wherein the odor impressions are divided into “top note,” “middle note or body” and “end note or dry out.” because the perception of an odor also depe
vitamins	4	4	1.00	0.250	add active substance, vitamins and aroma
