# INDEPENDENT ATTESTATIONS — distinct sentences a term was harvested from.
# A sentence copied into 100 patents is ONE attestation.
# Uses vocab.py's own PRE/POST/STOP, so `docs` matches vocab.py exactly.
# term	docs	attestations	copy_factor	top_share	top_sentence
preventing	8	9	0.89	0.125	brief summary the present disclosure has for its object to provide a cosmetic agent for reducing and/or preventing body odor, which agent has a good and long-lasting effect against body odor
starch	8	7	1.14	0.250	modified starches having emulsifying and emulsion stabilizing capacity such as starch octenyl succinates have the ability to entrap the perfume oil droplets in the emulsion due to the hydrophobic character of the starch modifying agent
block	8	17	0.47	0.125	during each on block the odor was presented continuously for 10 seconds, followed by a baseline of at least 17 seconds during which clean air was presented
appropriate	8	8	1.00	0.250	the search for appropriate fragrances and aromas is made difficult particularly due to the fact that the relations between the perception of fragrance and aroma, respectively, and the chemical structure of the scent and flavoring substance are not sufficiently known
becomes	8	7	1.14	0.250	in the case where the amount of 2-isopropyl-4-methyl thiazole blended is too small, the effect of the present invention may not be exerted, while in the case where the blending amount is too large, an aroma may become ill-balanced and far from the natural aroma with freshness, sweetness, and softnes
inhibiting	8	11	0.73	0.125	technical solution the present disclosure provides a perfume composition for inhibiting odor of an amine, which contains an aldehyde perfume
directly	8	8	1.00	0.250	additionally, the compound or composition must cover the unpleasant smell of different compounds produced by microbes or directly produced by the sweat glands
immediately	8	8	1.00	0.125	the odor of amine was evaluated immediately after the dyeing, 20 minutes after the dyeing and after washoff
reagents	8	4	2.00	0.625	acid-base reagents, thiol traps, odour blockers, cross-adaptation agents e.g
potential	8	7	1.14	0.375	the cell line was screened with a volatile compound library for their inhibitory properties and potential butyric acid smell inhibition
frying	8	6	1.33	0.500	non-limiting examples of kitchen malodor include any type of malodor present in a residential or commercial kitchen including, but not limited to: kitchen garbage odors that may result from the disposal of raw or cooked meat, fish, vegetables, fruit and/or dairy products; odors experienced during fo
socks	8	5	1.60	0.500	“body malodor” may also mean an odor that originates on the human body and is transferred to another substrate such as a textile; this may include, for example, the odor of worn socks, or the odor of worn sportswear
simila	8	2	4.00	0.875	the result is bloom and/or relative bloom is significantly enhanced, sometimes doubled or even tripled or more; and scent of perfume over the skin after wash, can be enhanced by a similar magnitude
bottle	8	10	0.80	0.125	the results obtained are grouped together in table 1 below, where the percentage reduction in unpleasant odor corresponds to the fraction of the unpleasant odor of the control still present in the bottle tested, and “uor×a” denotes an amount of uor which is a times greater than that of the uo
floral-tone	8	7	1.14	0.250	the compound represented by formula (1) has a mint-like aroma as well as an aroma of woody-tone, spicy-tone, floral-tone, green-tone, or like, and also is excellent in diffusivity
diffusivity	8	5	1.60	0.375	as described herein, fragrance accords were found to have a high impact bloom based upon their experimental velocity, speed of diffusivity, odor performance, and/or room filling capability
furan	8	6	1.33	0.250	(cm/s) (joules) mw logp oxydibenzene 101-84-8 14 17368 170.21 4.05 1,3,3-trimethyl-2- 470-82-6 13 13121 154.25 3.13 oxabicyclo[2.2.2]octane (2r,4s)-2-methyl-4-propyl- 59323-76-1 13 12507 160.09 2.35 1,3-oxathiane ethyl 2-methylbutanoate 7452-79-1 12 9373 130.18 2.26 (2r,4s)-4-methyl-2-(2- 3033-23-6 
sweeter	8	8	1.00	0.250	the methyl or dimethyl analogues have a vibrational spectra that more closely matches citral than the unsubstituted cyclopropane derivatives, and has a sweeter smell than the unsubstituted cyclopropyl derivatives
blackcurrant	8	16	0.50	0.125	generally, blackcurrant notes are top notes that consist of small molecules with a relatively low molecular weight that evaporate quickly
preparing	8	8	1.00	0.125	field of the invention the present invention relates to a fragrant material including aromatic essential oil for improving the retention of smell and intensity of aroma of aromatic essential oil and a method for preparing the same
vaporization	8	18	0.44	0.250	due to the differing volatility of odorants, the odor of a perfume or fragrance composed of multiple odorants varies over the course of vaporization, wherein the odor impressions are divided into “top note,” “middle note or body” and “end note or dry out.” because the perception of an odor also depe
extent	8	9	0.89	0.125	the reason for this is that in the reference system, even with different permeabilities of the capsule shells, the two fragrance compositions are nevertheless always released to such an extent that the fragrance impression is the result of a mixture of the two encapsulated compositions (i.e
apple-like	8	11	0.73	0.125	table 1 structural formula aroma evaluation example 1 mint-like aroma chamomile-like herbal aroma green apple-like fruity aroma example 2 mint-like aroma lilac-like white floral aroma sweet coconut-like aroma example 3 mint-like aroma lilac-like floral-green aroma example 4 mint-like aroma floral ar
apparatus	8	62	0.13	0.250	(2) load on aroma collecting apparatus after collecting the aroma compounds, the adsorbent from which the aroma compounds had been desorbed was checked for the reusability thereof
boosted	8	9	0.89	0.125	advantageous are combinations with aroma chemicals with a sweet note, such as vanillin, 2,5-dimethyl-4-hydroxy-2h-furan-3-one (furaneol) or 3-hydroxy-2-methyl-4h-pyran-4-one (maltol), of the sweet note of which is boosted by the compound (1) or by a mixture of two or more compounds (1), or its stere
textiles	8	8	1.00	0.125	the solid fabric care products can be used for delivering fragrances onto the textile articles during the washing/cleaning cycle and subsequently the laundered textiles have beneficial fragrance odor profile during the wear
retains	8	12	0.67	0.250	furthermore, the ratio of alpha and beta santalol in the sandalwood oil of the invention respects that of the prior known sandalwood oil and thus retains the characteristic odour of the oil
absolute	8	7	1.14	0.250	although perfume creation is part science and part artistry, and there is no absolute prescribed definition for odour attributes of perfume compositions and perfume ingredients, nevertheless trained perfumers, realizing that there will be margin for some subjectivity, will be able to assign perfume 
fat	8	11	0.73	0.125	the souk with notes of mutton fat
flow	8	15	0.53	0.250	in addition, the apparatus is provided with a suction pump as the linear speed controlling device 4 downstream the gas flow after the aroma compound adsorbing device k to generate a gas flow along with the gas flow generating device 13
generated	8	9	0.89	0.125	these carboxylic acids are strong contributors to human and pet generated odors, but odor control needed improvement
household	8	9	0.89	0.125	with the surprising success of the malodor counteractant (moc) formula of the present invention and the synergistic effect against odors, it was successfully tested against sweat odor, body odor, fecal odor, pet odor, foot odor, household food odors, and garbage and blood odor
maintained	8	7	1.14	0.250	however, though these toners are intended to improve unpleasant odor resulting from using an electrophotography, it is hard for people to determine that divergence of pleasant scent of these toners can be maintained over a long time
mid	8	14	0.57	0.250	further, it can be seen from the different gradient of the slopes in the graphs that as evaporation is driven based on vapor pressure, inventive compositions comprising the ris components evaporate preferentially over their respective targets—top, mid and bottom notes thus reducing a rate of evapora
unless	8	2	4.00	0.875	odor description refers to the odor of the isomeric mixture of the compounds unless otherwise indicated
indica	8	2	4.00	0.875	odor description refers to the odor of the isomeric mixture of the compounds unless otherwise indicated
color-protecting	8	5	1.60	0.375	the compounds of formula (i) to be used according to the invention or corresponding mixtures thereof or fragrance substance mixtures (as described herein) can be used in many preparations or products, wherein they are preferably combined with one or several of the following excipients or active ingr
hereinafter	8	7	1.14	0.250	typical examples of usable fragrance and flavor compounds discussed hereinafter, along with their odor characters, and their physical and chemical properties, are described in “perfume and flavor chemicals (aroma chemicals)”, steffen arctander, published by the author, 1969, and in “common fragrance
fruity-floral	8	18	0.44	0.125	rosy, and fruity olfactive impression, in particular red berry notes, such as for example raspberry or strawberry notes, fruity-floral notes such as cassis, blackcurrant and exotic fruit notes
oxide	8	16	0.50	0.125	it is further an object of the presently claimed invention to provide an aroma chemical, which can impart a long-lasting aroma impression, especially a flowery and/or a marine and/or a green and/or a sweet note and/or a rubbery note and/or a nutty note and/or a woody note and/or a dusty note and/or 
tests	8	16	0.50	0.125	thus, the tests facilitate smell testing of diverse populations, without the need to adapt the test stimuli
correctly	8	8	1.00	0.250	they were selected for evaluations on the basis of their ability to correctly rank the odour intensities of a series of dilutions (in dpg) of perfume ingredients
recognizable	8	9	0.89	0.125	the results from the fragrance test showed that the character of clove leaves was more recognizable after nanofiltration than before
racemic	8	8	1.00	0.250	alcohols: dimethyloctenol, generally known as “citronellol”, shows a smell of rose blossoms and lilies of the valley in its racemic form
freesia	8	8	1.00	0.250	dimethyloctadienol, industrially known as “linalool”, with an authentic, floral-wooden smell with a slight citrus influence, gains the elegant-fruity scent impression of the freesia flower through the addition of 10% (with regard to the total weight of dimethyloctadienol) of an isomer mixture of cyc
salt-based	8	8	1.00	0.125	table 16 salt-based solid scent booster compositions ingredients part sodium chloride 95 spray-dried granule powder 1-5 5 table 17 urea-based solid scent booster compositions ingredients part urea (beads) 86 spray-dried granule powder 1-5 8 bentonite 3 perfume 3 example 9 shampoo composition a suffi
talc	8	8	1.00	0.125	table 30 day cream ingredients % arlatone 985 5.000 ethoxylated fatty alcohol ester cetyl alcohol 0.500 tefose 2561 4.000 ceteth-20 (and) glyceryl stearate (and) peg-6 stearate (and) steareth-20 cosbiol 1.000 squalan mineral oil 30-40 cp 2.000 paraffin oil petroleum jelly 6.000 petrolatum water deio
comparable	8	9	0.89	0.125	in order to meet the high demand in the future as well, a large number of synthetically produced fragrances with a comparable odor profile are offered today
carrot	8	22	0.36	0.125	it is an object of the present invention to provide an aroma chemical, which can impart an aroma impression, preferably a carrot note or chocolate note or herbal note or waxy note or woody note or agrumic note or lily-of-the-valley note or watery note or soapy note or floral note or grapefruit like 
sensorial	8	6	1.33	0.250	advantageously, the fragrance mixtures, in particular the perfume oils, according to the present invention can be integrated into a wide range of products and impart a pleasant sensorial impression if present in suitable amount as described further below
detrimental	8	2	4.00	0.875	suitable fragrances show a very beneficial performance, but in combination with other fragrances may develop unpleasant and thus detrimental odor aspects, making it difficult or even impossible to use them for the specific purpose
suppressing	8	14	0.57	0.125	as a result, the inventors of the present invention have found that antagonist candidate compounds suppressing the response of these olfactory receptors including or2c1 and or4q3 are excellent not only in the effect of suppressing age-related body odors and/or underarm odors, but also in the effect 
sweaty	8	8	1.00	0.125	“reduction in the sweaty smell of 3-methyl-2-hexenoic acid by cross-adaptation using its pleasant-smelling methyl esters.” [0148] j
nevertheless	8	6	1.33	0.375	the hay-like, coumarinic note of natural peppermint oils, nevertheless, is based not on coumarin, since these do not contain coumarin, but without doubt on other compounds which in some cases are unidentified and are present in peppermint oils only in traces
damascone-like	8	19	0.42	0.250	thus, there is a constant desire to find new compounds possessing a damascone-like odour note
testing	8	7	1.14	0.250	6,050,129 relates to a process for testing diffusivity, odor character and odor intensity of a fragrance material used in an air freshener and describes mixing perfume with a hydrophobic wax such as candelilla wax or carnauba wax and emulsifying the blend in water, preferably with cationic surfactan
alone	8	8	1.00	0.125	all of these products are desirable or are improved by the presence of the pleasing fragrance and aroma of dihydronepetalactones, whether they are present alone as a perfume or together with other components in a perfumed formulation or composition for skin treatment or care
independently	8	6	1.33	0.500	according to the procedure, the samples to be tested are provided to a panel of six odor specialists who independently rank the odor intensity on a scale of 1 (least) to 10 (most) for odor and intensity
express	8	9	0.89	0.125	[0036] ranges of the average normal threshold for various odorant substances can be found in the art, for example, amoore and o&#39;neill, “proposal for unifying scale to express olfactory thresholds and odor levels: the “decismel scale”,” in [0037] proceedings of the 1988 air pollution control asso
bean	8	11	0.73	0.125	the dimethyl acetal of the invention develops an odor with a pleasant and natural green note and more precisely having a violet leaves connotation associated with pear, vegetable, green bean, green balsamic notes, and a nice green tea under-note
softer	8	8	1.00	0.125	® 7.00 prunolide ® 7.00 total 997 addition of 3 weight parts of compound ia at 1% in dpg changes the note of this perfume from green apple to a sweeter and softer “golden delicious” type
well-balanced	8	11	0.73	0.250	flavoring ingredients capable of imparting well-balanced bottom notes are relatively rare and for that reasons highly desirable for the flavorists
mostly	8	8	1.00	0.125	top note (head, peak, initial odor), readily volatile fragrances of mostly fresh character; 2
leave	8	9	0.89	0.250	it is thus of great interest to find an alternative process for preparing concretes and/or absolutes which uses, in its process, a preferably “green” extraction solvent instead of solvent of fossil origin such as n-hexane, and which in addition does not denature the odour of the absolute or which do
unexpectedly	8	6	1.33	0.375	another subject of the invention is the use of one or more concretes and/or of one or more absolutes which are obtained according to the preparation process as defined above for the perfuming of a support i) such as: keratin materials, in particular human keratin materials such as the skin, or human
correctants	8	13	0.62	0.375	saccharin, flavour correctants for unpleasant flavour impressions, flavour correctants for further, as a rule not unpleasant flavour impressions, flavour-modulating substances (e.g
nature-identical	8	7	1.14	0.375	carotenoids, flavonoids, anthocyans, chlorophyll and derivatives thereof), spices, substances having a trigeminal action or plant extracts comprising such substances having a trigeminal action, synthetic, natural or nature-identical aroma substances or odoriferous substances and flavour correctants
citrate	8	7	1.14	0.250	15.00 lilial 20.00 linalool 20.00 linalyl acetate 40.00 mandarin oil, green, brazilian 50.00 timberol ® 40.00 vanillin 5.00 veloutone, 10% in dpg 20.00 ysamber k ® 10.00 total 1000.00 dpg: dipropylene glycol, tec = triethyl citrate odor description of the perfume composition without addition of the 
dipropylene	8	7	1.14	0.250	6.00 acetyl cedrene 10.00 majantol 190.00 linalool 35.00 linalyl acetate 10.00 methyl anthranilate, 10% in dpg 5.00 nerol 10.00 orange oil 6.00 phantolide 4.00 phenylacetaldehyde dimethylacetal 6.00 phenylethyl alcohol 75.00 florol 6.00 sandalwood oil 3.00 sandranol 16.00 trifernal 2.00 tonalid 2.00
grassy	8	10	0.80	0.125	% in water; and dimethyl kahweofuran has a raw bean-like aroma with grassy tones, vegetable-like green aroma, or an aroma with freshness, when it is diluted to 0.000005 wt
beans	8	11	0.73	0.125	hence, not only is it possible to maintain flavor and aroma of the coffee beans c, but it is also possible to prevent oxidation of the coffee beans c
agrestic	8	11	0.73	0.125	surprisingly it has been found that these compounds possess fruity, woody, agrestic, and pungent-like odor notes, suitable for use in flavor and fragrance compositions
animals	8	10	0.80	0.125	however, after 7 days of being subjected to restraint on a daily basis, the animals housed with odours were less responsive to the restraining stress in terms of heart rate
emphasize	8	10	0.80	0.250	the object to be achieved by the present invention was to stress or emphasize particular odor aspects of particular fragrances or fragrance mixtures and/or to mask or reduce particular odor aspects of a fragrance or of a fragrance mixture, in particular oily and industrial notes
achieving	8	8	1.00	0.125	this compound surprisingly has green appley odour properties, which are particularly well suited to achieving green fruity head notes in perfume oil mixtures, as are often desired
beyond	8	8	1.00	0.125	despite a large number of already existing fragrance substances, there is still a general need in the perfume industry for new fragrance substances which have additional positive secondary properties beyond their primary, namely odor, properties, such as, for example, higher stability under certain 
problem	8	8	1.00	0.250	however, these compounds have woody side notes and, therefore, are unfavorable for reproducing the scent of lily of the valley, and further have such a problem that they can be used in perfume preparations only in a limited amount
enjoy	8	9	0.89	0.250	background of the invention people enjoy wearing garments that smell fresh and clean
evaluators	8	9	0.89	0.375	according to the procedure, the hair swatches to be tested were provided to a panel of six odor evaluators who independently rank odor intensity retained on the hair swatches
sparingly	8	1	8.00	1.000	the three notes correspond to the greater or lesser volatility of the ingredients of which they are composed: highly volatile head note, moderately volatile heart note and sparingly volatile base note
previous	8	8	1.00	0.125	the previous notes and explanations regarding the inventive cosmetic preparations a) and apparatus for flash evaporation b) also apply mutatis mutandis to further preferred variants of the uses and the method as contemplated herein
ready-to-use	8	18	0.44	0.125	accordingly, a specific embodiment of the present invention relates to the use of a compound of formula (i), or a mixture of two or more different compounds of formula (i) or a stereoisomer thereof or a mixture of stereoisomers thereof for modifying the scent character of a fragranced ready-to-use c
cheesy	7	9	0.78	0.143	in these cases, the product often has an undesired cheesy odor note
gel	7	7	1.00	0.143	as in example 8, the panelists were asked to rate the perceived perfume tonality of the shower gel before usage (5 ml of shower gel held in the palm of the panelist&#39;s hands) and after lathering for ten seconds with warm water
dries	7	1	7.00	1.000	in the third stage (i.e., base notes), after a fragrance dries down, these notes are more pronounced
starting	7	7	1.00	0.286	particularly, in comparison to florol (2-isobutyl-4-methyl-tetrahydro-2h-pyran-4-ol), even though 2-(1-ethyl-propyl)-4-methyl-tetrahydro-2h-pyran-4-ol shows a less intensive starting odour, the note lasts longer, and blends very well in floral composition to enhance (boost) other top note compounds
herb	7	9	0.78	0.286	it should be noted that, in the present invention, the base fragrance composition is an important part for a blended fragrance and refers to a blended fragrance which serves as a skeleton of a variety of types of aromas such as a floral aroma, a fruit aroma, a citrus aroma, and a herb aroma and is u
spray	7	14	0.50	0.143	% ethyl alcohol 96% 48.75 deolite (dimethylphenylpropanol, 1,5-pentanediol) (symrise) 0.25 propellant 2.7 bar 50.00 perfume oil composition from example 38 1.00 the fragrance of the deodorant spray itself, and the odor perceptible in the vicinity of the armpit after use thereof, showed a significant
candy	7	7	1.00	0.286	ingredient parts (grams) parts (grams) aldehyde aa triplal 2.00 2.00 aldehyde c10 1.00 1.00 allyl caproate 1.00 1.00 applelide ® 10.00 10.00 bornafix ® 1.00 1.00 cashmeran ® 0.30 0.30 dpg 1.00 — endo bicyclo[2.2.1]hept-5-ene-2- — 1.00 carboxylic acid, ethyl ester ethyl vanillin 0.30 0.30 ethyl-2-met
citronella	7	16	0.44	0.143	% sugar (saccharose) 81.5 citric acid 11.58 trisodium citrate 0.70 tricalcium phosphate 0.60 vitamin c 0.66 grindsted ® ju 543 stabilizer system (danisco) 0.90 saccharine 0.56 citronella aroma, spray-dried 1.75 aroma from example 77, spray-dried onto maltodextrin 1.75 (de 18), dextrose and gum arabi
facet	7	7	1.00	0.143	odour description of the crude reaction mixture: floral orange flower, floral aldehydic, methyl anthranilate example 3: preparation of a feminine floral fine fragrance parts by weight compound/ingredient 1/900 benzyl acetate 40 2-phenylethanol 20 decanal (at 10% in dpg) 8 10-undecenal (at 10% in dpg
simultaneously	7	6	1.17	0.286	these results may be evidence of both sensory and cognitive processes in play simultaneously during odor perception
relevant	7	7	1.00	0.143	context can have an influence on the moods evoked by odours and this is particularly relevant for positive, activated smells
sniff	7	10	0.70	0.143	the fragrance compositions can be dispensed, for example, by means of a cloth material that is coated with fragrance compositions, as a solid or liquid form contained in a capped vessel, from an aerosol or pump-type spray device, as a nasal spray, by opening a blister pack or scratch-and-sniff odour
normal	7	32	0.22	0.286	typically these materials have no or very low odour and make little contribution to the overall odour of a perfume when present at normal concentrations (less than 60%, usually less than 40%, often less than 20%)
color-protection	7	3	2.33	0.571	ingredients with which fragrances used according to the invention or fragrance compositions according to the invention can preferably be combined are, for example: preservatives, abrasives, antiacne agents, agents to combat skin aging, antibacterial agents, anticellulite agents, antidandruff agents,
highest	7	7	1.00	0.286	the expert grader should familiarizes him/herself with the strength of the odor on the bi reference swatches by sniffing each one starting at 0 (the lowest odor strength) and ending at 3 (the highest odor strength)
anise	7	11	0.64	0.143	table 1 chemical structure iupac names character description 1 4-(2,4-dimethyl-cyclohex- 3-enylidene)-butan-2-one strong woody and spicy characters 2 4-isopropyl-1,5-dimethyl-2- oxa-bicyclo[2.2.2]octane herbal, camphor, woody, minty, and patchouli aspects 3 4-(1,2-dimethyl-propyl)-1- methyl-2-oxa- b
solely	7	6	1.17	0.286	a non-functional perfume raw material (“non-functional prm”) is utilized solely for its fragrance, scent, or hedonic benefits and does not include any of the above described first, second and third ris components
derived	7	12	0.58	0.143	lastly, it is generally accepted that some consumers desire prolonged intensity of select characters, particularly the floral, spicy or aromatic characters derived from the heart notes
rose-type	7	5	1.40	0.286	non-limiting examples of floral character include: lavender-type note, a rose-type note, a lily of the valley-type note, a muguet-type note, a jasmine-type note, a magnolia-type note, a cyclamen-type note, a hyacinth-type note, a lilac-type note, an orange blossom-type note, a cherry blossom-type no
muguet-type	7	12	0.58	0.286	non-limiting examples of floral character include: lavender-type note, a rose-type note, a lily of the valley-type note, a muguet-type note, a jasmine-type note, a magnolia-type note, a cyclamen-type note, a hyacinth-type note, a lilac-type note, an orange blossom-type note, a cherry blossom-type no
attributable	7	5	1.40	0.286	the effect of the substantially non-odorous fragrance modulator on the fragrance profile, particularly the characters of the fragrance profile which is attributable to the medium and high volatile fragrance materials, can be improved
ginger	7	9	0.78	0.143	the reference accord r1 comprising dipropylene glycol (dpg), but no compounds a or b gives a freshly cut ginger root impression, mainly through a citrus citral freshness combined with aromatic elements
axillary	7	12	0.58	0.143	the odour is subsequently evaluated olfactorily by several people, at different times, in order to evaluate: (i) the intensity of the axillary odour (on a scale ranging from 1=none to 9=extremely strong); and (ii) the hedonic value of the axillary odour (on a scale ranging from 1=extremely unpleasan
fluorescing	7	6	1.17	0.286	a washing or cleaning agent, cosmetic agent or air-care agent) has at least one, preferably a plurality of, active components, in particular washing, care, cleansing and/or cosmetic components, advantageously selected from the group comprising anionic surfactants, cationic surfactants, amphoteric su
amphiphilic	7	10	0.70	0.143	the amphiphilic character of surfactants causes interference with the polymerization that needs to occur at the interface of the dispersed phase and the continuous phase that is necessary to generate a capsule
clothing	7	6	1.17	0.286	it may also be conceived to use a fragrance having a high scent intensity or extremely raise the perfuming amount, but, for example, at the start of use of a deodorant product, during use of a body cleaner, or during drying of clothing, the fragrance smells too strong, and the user may feel sick
mildew	7	8	0.88	0.286	examples of such malodors are the smell of sweat, fecal odors, mildew odor, bacterially produced malodor, fish odor, the smell of c 1 to c 15 fatty acids or the smell of damp washing stored for hours on end
pads	7	5	1.40	0.286	table 20 a b c d wt % wt % wt % wt % ingredient active active active active deqa 1 0-50 50 — — deqa 2 0-50 — — 30 dtdmams 3 0-50 — 50 — 7018fa 4 0-50 — 50 — ts-20 5 0-15 — — 15 sms 6 0-15 — — 15 sdasa 7 0-19 25 — 19 tped 8 — 3 — — complex 9 0-16.5 16.5 — 8.0 clay 10 balance balance balance balance f
menstrual	7	5	1.40	0.286	table 20 a b c d wt % wt % wt % wt % ingredient active active active active deqa 1 0-50 50 — — deqa 2 0-50 — — 30 dtdmams 3 0-50 — 50 — 7018fa 4 0-50 — 50 — ts-20 5 0-15 — — 15 sms 6 0-15 — — 15 sdasa 7 0-19 25 — 19 tped 8 — 3 — — complex 9 0-16.5 16.5 — 8.0 clay 10 balance balance balance balance f
recreate	7	3	2.33	0.571	the proposed solution resides in the use of mixtures of known ingredients commonly found in the perfumery palette in order to recreate odour characteristics substantially similar to those of lilial™
stains	7	5	1.40	0.429	the homecare products according to the first and second aspect of the invention are predominantly detergent formulations, usually liquids, powders, sprays, granules or tablets, used to remove dirt, including dust, stains, bad smells and clutter on surfaces or other types of housecleaning or laundry 
foul	7	11	0.64	0.143	because of this, any exchange of protons with this polar group on a malodorous molecule will temper the malodor&#39;s tendency to cause a foul odor
performed	7	11	0.64	0.143	furthermore, sensory analysis of the odor of the culture solution was performed using the criteria described below
help	7	6	1.17	0.286	while the further classification of the volatile fragrance materials into high and moderate volatile fragrance materials is provided to help illustrate the fragrance characters of the perfume raw materials and is useful for when it comes to formulating new fragrance profiles, it should not be constr
represents	7	7	1.00	0.143	added at higher levels, it develops into a more perfumistic accord, in which the reaction product from example 1 represents the base note
unpleasantly	7	9	0.78	0.429	moreover, the present invention relates to perfumed products containing a mixture according to the invention (as described herein), methods for producing mixtures according to the invention, methods for producing perfumed products according to the invention as well as preferred uses of mixtures acco
assessment	7	11	0.64	0.143	15 shows the average direct odor assessment score for the impression of “cleanliness” for each of odors 1-3 as described by example 8
targeted	7	9	0.78	0.143	the consumer can be exposed to a control, or blank, between each odor of the series, or as a targeted odor, or both
participants	7	7	1.00	0.286	participants also scored the scents on a 9-point scale for certain attributes
deep	7	6	1.17	0.286	background sandalwood oil, distilled from the heart wood and roots of the sandalwood tree, is one of the most valuable essential oils, valued by perfumers for its woody notes, providing a deep rich base note to perfumes and acting as a natural fixative
emitted	7	10	0.70	0.143	these compositional changes of the fragrance formulation, over time, create a loss of freshness and change in the character of the fragrance emitted into the ambient atmosphere
caring	7	6	1.17	0.286	example 16: shower gel material manufacturer inci name wt % deionized water water 76.3 plantacare ps 10 cognis sodium laureth sulfate, lauryl 20.0 germany glucoside gmbh dragocid liquid symrise phenoxyethanol, methylparaben, 0.5 ethylparaben, butylparaben, propylparaben, isobutylparaben sodium chlor
felt	7	24	0.29	0.143	it was multiplied by 4 in decreasing order, by 3, by 2 and by 1 and or better odor, and also with the one who not felt odor in any of the strands
cannabis	7	26	0.27	0.286	with respect to cannabis, terpenes emit such scents to deter would-be attackers, such as herbivores, from eating the plant, or attract those who are more interested in eating the attackers, such as carnivores
limonene	7	6	1.17	0.429	for example, phenethylalcohol provides a floral rose note, methylionone produces a woody note, and bergomot and limonene produces citrusy, fruity notes
sometimes	7	7	1.00	0.143	geraniol: geraniol provides the distinctive and delicate aroma of geranium flowers and is sometimes described as smelling like citronella, roses, passionfruit or stonefruit such as peaches or plums
amine-based	7	3	2.33	0.714	reactive aldehydes may react with amine-based odors, following the path of schiff-base formation
potent	7	10	0.70	0.143	another type of consumer may want a less potent scent present on an absorbent article than the type of consumer previously described
lighter	7	7	1.00	0.143	further, a consumer who prefers a lighter, less noticeable scent also prefers a lightweight, watery lotion
variety	7	7	1.00	0.286	the odour properties of the aldehydes of the invention mean that an aldehyde, (including corresponding acetals or schiffs bases), or mixture of aldehydes in accordance with the invention, may be used as such to impart, strengthen or improve the odour of a wide variety of products, or may be used as 
recognized	7	10	0.70	0.286	the compound of formula (i) has indeed already been mentioned in the prior art, but its suitability as a fragrance, especially its particular suitability for imparting an odor note of lily of the valley, had not been recognized
incorporated	7	6	1.17	0.286	in particular, the unsaturated 3-methoxy-3-methyl-1-butanol ether derivatives described in the present invention all contain citrus and/or green notes incorporated into their odor compositions
simply	7	4	1.75	0.429	at the present time, however, such demands cannot be fully met by simply combining conventional aroma substances
adds	7	9	0.78	0.286	adds juicy notes which can be rather difficult in a chocolate; flavorist 8: makes the lime really pop
taken	7	7	1.00	0.143	the amount of each variable potency scent for the selected container size and desired concentration is taken from the scent table and used
prolonging	7	12	0.58	0.429	moreover, a method for prolonging the scent of detergent, cleaning, fabric softener or cosmetic compositions or of surfaces which have been treated with these compositions is also disclosed, in particular for hard or textile surfaces, wherein the detergent, cleaning, fabric softener or cosmetic comp
you	7	6	1.17	0.286	it may propose to begin with: a “preloaded recipe” to be used as pre-recipe an original recipe that the system creates, to be used as pre-recipe advice (such as: “you should use scent x as main and scent y as auxiliary
allowing	7	9	0.78	0.143	inclusion of one or more trigeminal-stimulating compounds can also lower the perception threshold of a user, allowing the odor to be perceived at a greater distance from its source
bring	7	5	1.40	0.286	it was therefore an object of the present invention to emphasize or bring out particular odor aspects of particular odorants or odorant mixtures and/or to mask and/or to reduce particular odor aspects of an odorant or an odorant mixture, especially fatty and metallic notes
flavorings	7	9	0.78	0.286	the main constituents are abrasive bodies, foam formers, wetting agents and humectants, flavorings and aromas, preservatives, and dyes and additives
aggressive	7	5	1.40	0.286	table 2 perfume oil p2 (amounts in g) ingredient formulation a formulation b farenal 1% 20 20 mandarin aldehyde 10% 5 5 florazon 10 10 leafovert 10% 20 20 vertocitral 1 1 bergamot oil 100 100 linalyl acetate 50 50 dihydromyrcenol 60 60 orange oil 25 25 lavandin oil 20 20 cassis base 345bb 10 10 calo
linear	7	32	0.22	0.143	description of the invention surprisingly, it has now been discovered that compound of formula (i) imparts the most powerful and linear woody and amber note compared to the synthetic ingredient normally used in this goal
represent	7	7	1.00	0.143	the disadvantage of many ambergris fragrances is that their olfactory impression is only gradually perceived, which is why it is particularly difficult to represent the ambergris odour in the top note of a perfume
ratios	7	6	1.17	0.571	at these weight ratios, the intrinsic odor of the compound of formula (i) regularly is no longer or barely still perceptible, however the presence of the compound of formula (i) exerts a positive influence on the overall note of the fragrance mixture according to the invention
instance	7	7	1.00	0.143	other isomers of menthol (neomenthol, isomenthol and neoisomenthol) have somewhat similar, but not identical odor and taste, and may have, for instance, disagreeable odor and taste notes described as earthy, camphor, musty, etc
predicting	7	8	0.88	0.286	thus, identifying desirable fragrance chemicals continues to pose difficult challenges and predicting odors remains empirical in nature
capture	7	11	0.64	0.143	furthermore, it was an important object to provide a simple solution which is easy to handle and which can be taken anywhere and can be used on a wide range of materials which is to be extracted, and at the same time yields extraction samples which capture the scent of a plant or a fruit in such a w
tonka	7	15	0.47	0.143	surprisingly, it has been observed that 3,6-dimethyl-3h-1-benzofuran-2-one is a perfect alternative for coumarin, since it provides an intensive coumarin-like, coconut, almondy with tonka nuances flavour, but is considered dermatologically safe
maximum	7	5	1.40	0.571	the intensity was reported on a scale from 1-7 (1=no odor, 7=maximum odor intensity)
